Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
9th Floor,9th Floor Electrical Room,Feeder Panel,E HDP-CR-HPH,250A,480Y/277V,3P4W,E HDP-CR,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,ELDP-CR-HPH,400A,208Y/120V,3P4W,T-ELDP-CR-HPH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,ELDP-CR-HPH1,400A,208Y/120V,3P4W,T-ELDP-CR-HPH1,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,LDP-PH1,400A,208Y/120V,3P4W,T-LDP-PH1,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Branch Panel,LP-9A,100A,208Y/120V,3P4W,LDP-PH,Wall-mounted,Normal,Square D branch-circuit panel
9th Floor,9th Floor Electrical Room,Feeder Panel,LDP-PH,1000A,208Y/120V,3P4W,T-LDP-PH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Feeder Panel,HDP-PH,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,9th Floor Electrical Room,Transformer,T-ELDP-CR-HPH,112.5 kVA,480→208Y/120V,3P4W,E HDP-CR-HPH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,9th Floor Electrical Room,Transformer,T-ELDP-CR-HPH1,112.5 kVA,480→208Y/120V,3P4W,E HDP-CR-HPH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,9th Floor Electrical Room,Transformer,T-LDP-PH1,150 kVA,480→208Y/120V,3P3W,HDP-PH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,9th Floor Electrical Room,Transformer,T-LDP-PH,300 kVA,480→208Y/120V,3P3W,HDP-PH,Floor-mounted,Normal,Step-down; floor-mounted
9th Floor,Penthouse General Area,Feeder Panel,MD-PH,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Feeder Panel,HP-PH,150A,480Y/277V,3P4W,MD-PH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Feeder Panel,LP-PH,100A,208Y/120V,3P4W,T-LP-PH,Wall-mounted,Normal,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Feeder Panel,LP-EQ-PH,100A,208Y/120V,3P4W,LP-EQ-2A,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,Penthouse General Area,Transformer,T-LP-PH,30 kVA,480→208Y/120V,3P3W,HP-PH,Floor-mounted,Normal,Square D dry-type; floor-mounted
9th Floor,Penthouse General Area,Disconnect,EF-9-1,15A,480Y/277V,3P3W,MD-PH,Wall-mounted,Normal,Exhaust-fan disconnect
9th Floor,9th Floor Elevator Room 1,Feeder Panel,DP-2,350A,480Y/277V,3P4W,E-HDP-EE2,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,9th Floor Elevator Room 1,Branch Panel,FRT ELEV LOAD CENTER,,,,,Wall-mounted,,Freight Elevator Load Center
9th Floor,9th Floor Elevator Room 1,Disconnect,ELEV A-973,125A,480Y/277V,3P3W,DP-2,Wall-mounted,Emergency,Disconnect for Elevator #4
9th Floor,9th Floor Elevator Room 1,Disconnect,ELEV B-974,125A,480Y/277V,3P3W,DP-2,Wall-mounted,Emergency,Disconnect for Elevator #5
9th Floor,9th Floor Elevator Room 1,Disconnect,ELEV C-975,125A,480Y/277V,3P3W,DP-2,Wall-mounted,Emergency,Disconnect for Elevator #6
